Company Name,Website,Type,City ,State,Country,Phone
H & M Wholesale Inc,hmwholesale.com,Gas & Oil,Helotes,Texas,United States,1-979-690-8925
Haffner's Service Stations,haffnersoil.com,Gas & Oil,Lowell,Massachusetts,United States,1-978-452-8413
Hampel Oil Distributors Inc,hampeloil.com,Gas & Oil,Iola,Kansas,United States,1-620-365-3621
Harbour Petroleum Corporation,harbourpetro.com,Gas & Oil,Melbourne,Florida ,United States,1-321-724-0641
Harding & Shelton Inc,hardingshelton.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-236-0080
Harper Oil Products Inc,www.harperoil.com,Gas & Oil,Florence,Kentucky,United States,1-859-283-1001
Harvest Tool LLC,harvesttool.com,Gas & Oil,Littleton,Colorado,United States,1-303-470-9202
Harvin Petroleum Company,harvinpetroleum.com,Gas & Oil,Sumter,South Carolina,United States,1-803-773-2442
Hasco Oil Company,hascooil.com,Gas & Oil,Long Beach,California,United States,1-562-426-9364
Haydens Oil Service,www.rutlandfuel.com,Gas & Oil,Rutland,Vermont,United States,1-802-773-3644
Heartland Petroleum LLC,www.heartland-petroleum.com,Gas & Oil,Columbus,Ohio,United States,1-614-441-4001
Heetco,heetco.net,Gas & Oil,Overbrook,Kansas,United States,1-785-665-7186
HEI Resources,heartlandenergy.com,Gas & Oil,Colorado Springs,Colorado,United States,1-719-226-2828
Helmerich & Payne Properties,hpinc.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-742-5531
Highland Oil Company,highlandcorp.com,Gas & Oil,Hohenwald,Tennessee ,United States,1-931-796-2274
Hill Resources Inc,hillresourcesinc.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-755-5826
Hoover Oil Field Supply Company,www.hooveroilfieldsupply.com,Gas & Oil,Winnie,Texas,United States,1-409-296-2525
Hornbeck Offshore Service Inc,www.hornbeckoffshore.com,Gas & Oil,Covington,Louisiana,United States,1-985-727-2000
House Oil CO Inc,barbourvilleky.com,Gas & Oil,London,Kentucky,United States,1-606-864-2665
Huber Energy,http://www.huber.com/,Gas & Oil,Edison ,New Jersey,United States,1-732-549-8600
Hunt Oil Co.,http://www.huntoil.com/,Gas & Oil,Dallas,Texas,United States,1-214-978-8000
Hunt Southland Refining Company,www.southlandoilco.com,Gas & Oil,Vicksburg,Mississippi ,United States,1-601-634-1361
Hunt Southland Refining Company,www.southlandoilco.com,Gas & Oil,Sandersville,Mississippi ,United States,1-601-426-3241
Husker Agency LLC,www.huskerag.com,Gas & Oil,Plainview,Nebraska,United States,1-402-582-4446
Husky Energy,http://www.huskyenergy.com/,Gas & Oil,Calgary,Alberta,Canada,1-403-298-6111
Hutchinson Oil Co,www.hutchs.net,Gas & Oil,Elk City,Oklahoma,United States,1-580-225-0301
Imagine Resources LLC,imagineresourcesllc.com,Gas & Oil,Corpus Christi,Texas,United States,1-361-882-2883
Imperial Oil Ltd. (Esso),http://www.imperialoil.ca/,Gas & Oil,Montreal,Quebec,Canada,1-416-682-3860
Independent Propane,www.ipropane.com,Gas & Oil,Pine,Colorado,United States,1-303-838-9880
Infinity Oil & Gas Inc,www.infinityog.com,Gas & Oil,Denver,Colorado,United States,1-303-825-0899
Innex Energy,innexenergy.com,Gas & Oil,Plano,Texas,United States,1-972-608-9994
Interstate Gas,igsenergy.com,Gas & Oil,Dublin,Ohio,United States,1-614-923-1000
ITL Inc,ifuel.net,Gas & Oil,Bell,California,United States,1-323-771-6275
J P Oil Company,jpoil.com,Gas & Oil,Lafayette,Louisiana,United States,1-337-234-1170
J&J Technical Services,http://j-jtech.com/,Gas & Oil,Shreveport,Louisiana,United States,1-318-636-6893
Jackson Energy Authorty,www.jaxenergy.com,Gas & Oil,Jackson,Tennessee ,United States,1-731-422-7500
Jackson Oil & Solvents Inc,www.jacksonoilsolvents.com,Gas & Oil,Indianapolis,Indiana ,United States,1-317-636-4421
James River Petroleum Inc,www.jrpetro.com,Gas & Oil,Richmond,Virginia,United States,1-804-358-9000
JBC Inc-Valley Oil Company,www.jbc1.com,Gas & Oil,Scottsbluff,Nebraska,United States,1-308-635-0455
Jefferson City Oil Company,www.jcoil.com,Gas & Oil,Jefferson City,Missouri,United States,1-573-634-2025
Jerry Brown Company,www.jbco.com,Gas & Oil,Eugene,Oregon,United States,1-541-688-8211
"Jetta Operating Company, Inc.",http://www.jettaoperating.com/,Gas & Oil,Fort Worth,Texas,United States,1-817-335-1179
Jetta Production Company,jettapc.com,Gas & Oil,Fort Worth,Texas,United States,1-817-335-1179
JMG Exploration Inc,skeehanco.com,Gas & Oil,Pasadena,California,United States,1-626-792-3842
John W Stone Oil Distributor,stoneoil.com,Gas & Oil,Golden Meadow,Louisiana,United States,1-985-396-2210
John Whitmire,wlandt.com,Gas & Oil,Cameron,Texas,United States,1-254-697-8098
Jones Energy Limited,jonesenergy.com,Gas & Oil,Austin,Texas,United States,1-512-328-2953
JP Oil,http://www.jpoil.com/,Gas & Oil,Lafayette,Louisiana,United States,1-337-234-1170
Jtd Resources LLC,jtdresources.com,Gas & Oil,Midland,Texas,United States,1-432-682-3712
Juniper Fuel Inc,www.juniperfuelinc.com,Gas & Oil,Redmond,Oregon,United States,1-541-548-1035
Justiss Oil CO Inc,www.justissoil.com,Gas & Oil,Jena,Louisiana,United States,1-318-992-4111
K & A Enterprises LLC,www.kaenterprisesllc.com,Gas & Oil,Meriden,Connecticut,United States,1-203-379-0193
Kaiser-Francis Oil Company,kfoc.net,Gas & Oil,Tulsa,Oklahoma,United States,1-918-494-0000
KB Johnson Oil and Gas Company,www.kbjohnson.com,Gas & Oil,Raleigh,North Carolina,United States,1-919-773-2900
Keepa Oil Corporation,maproyalty.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-235-4968
Keith Oil Company,www.admiralinc.com,Gas & Oil,Ferndale,Washington,United States,1-360-312-1100
Kent Oil & Propane Company,www.kentoilpropane.com,Gas & Oil,Nashville,Michigan,United States,1-517-852-9210
Kerivan-Lane Oil Company,www.kerivan-lane.com,Gas & Oil,Needham Heights,Massachusetts,United States,1-781-444-0279
Kern Oil & Refining Company,www.kernoil.com,Gas & Oil,Bakersfield,California,United States,1-661-845-0761
"Kinder Morgan, Inc.",https://www.kindermorgan.com/,Gas & Oil,Houston,Texas,United States,1-713-369-9000
Kirkpatrick Oil CO Inc,kirkpatrickoil.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-840-2882
Kivett Oil Company,fastphils.net,Gas & Oil,Statesville,North Carolina,United States,1-704-872-3601
Klasen Oil Company,www.klasenoil.com,Gas & Oil,Warren,Pennsylvania,United States,1-800-292-9670
Klingler Automatic,www.klinglerautomatic.com,Gas & Oil,Marine City,Michigan,United States,1-810-765-1096
Kludt & Sons Petroleum Products,www.kludtoil.com,Gas & Oil,Lodi,California,United States,1-209-368-0634
KNG Energy,www.kngenergy.com,Gas & Oil,Findlay,Ohio,United States,1-419-424-3427
"Koch Industries, Inc.",http://www.kochind.com/,Gas & Oil,Wichita,Kansas,United States,1-316-828-5500
Kuhlwein Petroleum Company,www.kuhlweinpetroleum.com,Gas & Oil,Hilliard,Ohio,United States,1-614-876-0338
L & L Oil CO Inc,lloil.com,Gas & Oil,Metairie,Louisiana,United States,1-504-832-8630
Lamamco,www.lamamco.com,Gas & Oil,Skiatook,Oklahoma,United States,1-918-396-3020
Lang Surveying,www.langsurveying.com,Gas & Oil,Bradford,Pennsylvania,United States,1-814-368-4139
Lank Oil Company,lankoil.com,Gas & Oil,Pompano Beach,Florida ,United States,1-954-978-6600
Laredo Petroleum,laredopetro.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-513-4570
Lario Oil & Gas Company,http://www.lariooil.com/,Gas & Oil,Wichita,Kansas,United States,1-316-265-5611
Leiszler Oil Company,www.leiszleroil.com,Gas & Oil,Clay Center,Kansas,United States,1-785-632-5648
Lenape Resources Inc,lenaperesources.com,Gas & Oil,Alexander,New York,United States,1-585-344-1200
Leominster Ice & Oil Co.,www.leominstericeandoil.com,Gas & Oil,Leominster,Massachusetts,United States,1-800-696-2653
Lewis & Raulerson Inc,lewisandraulerson.com,Gas & Oil,Waycross,Georgia ,United States,1-912-283-5951
Lighthouse Oil LLC,www.lighthouseoil.com,Gas & Oil,Old Saybrook,Connecticut,United States,1-860-388-0091
Lion Oil Company,lionoil.com,Gas & Oil,El Dorado,Arkansas ,United States,1-870-862-8111
Lorco Petroleum Service,www.lorcopetroleum.com,Gas & Oil,Elizabeth,New Jersey,United States,1-908-820-8800
Lorco Petroleum Services,www.lorcopetroleum.com,Gas & Oil,Edison,New Jersey,United States,1-800-734-0910
Lower Valley Energy,www.lvenergy.com,Gas & Oil,Afton,Wyoming,United States,1-307-885-3175
LYCO Energy Corporation,www.enerplus.com,Gas & Oil,Denver,Colorado,United States,1-720-279-5500
M P Mayeux Surveying & Boundry,mayeux-surveying.com,Gas & Oil,Scott,Louisiana,United States,1-337-266-9500
Madden Oil Co,www.maddenoil.com,Gas & Oil,Liberal,Kansas,United States,1-620-624-1961
Magellan Petroleum Corporation,http://www.tellurianinc.com/,Gas & Oil,Houston,Texas,United States,1-832-962-4000
Main Brothers Oil CO Inc,maincareenergy.com,Gas & Oil,Albany,New York,United States,1-518-438-4195
Main-Care Energy,www.maincareenergy.com,Gas & Oil,Albany,New York,United States,1-518-438-7856
Major Brands Oil Company,www.majorbrandsoil.com,Gas & Oil,Holland,Michigan,United States,1-616-392-5936
"Manti Resources, Inc.",http://mantires.com/,Gas & Oil,Covington,Louisiana,United States,1-985-327-5536
Marandola Fuel Service,www.marandolafuel.com,Gas & Oil,New Milford,Connecticut,United States,1-860-355-4877
Marathon Petroleum Co LLC,mapllc.com,Gas & Oil,Findlay,Ohio,United States,1-419-422-2121
Marjo Operating CO Inc,www.marjoop.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-583-0241
Marjo Operating CO Inc,www.marjoop.com,Gas & Oil,Carney,Oklahoma,United States,1-405-865-2291
Mark A O'Neal & Associates Inc,markaoneal.com,Gas & Oil,Baton Rouge,Louisiana,United States,1-225-389-1100
"MarkWest Hydrocarbon, Inc.",http://www.markwest.com/,Gas & Oil,Denver,Colorado,United States,1-303-925-9200
Maxey Energy Co,www.maxeyenergy.com,Gas & Oil,Uvalde,Texas,United States,1-830-278-7817
Mc Coy Petroleum Corporation,www.mccoypetroleum.com,Gas & Oil,Wichita,Kansas,United States,1-316-636-2737
Mc Neece Brothers Oil CO Inc,www.mcneecebros.com,Gas & Oil,Yuma,Arizona,United States,1-928-782-6543
Mc Neece Brothers Oil Company,mcneecebros.com,Gas & Oil,El Centro,California,United States,1-760-352-4721
Mc Pherson Companies Inc,mcphersonoil.com,Gas & Oil,Decatur,Alabama ,United States,1-256-353-3163
McClure Oil Corporation,www.mcclureoilcorp.com,Gas & Oil,Marion,Indiana ,United States,1-765-674-9771
McLambs LP Gas & Supplies,www.mclambslpgas.com,Gas & Oil,Dunn,North Carolina,United States,1-919-894-3842
McMoRan Oil & Gas Co.,http://www.fcx.com/,Gas & Oil,New Orleans,Louisiana,United States,1-504-582-4000
Metro Tank & Pump Company,www.metrotank.com,Gas & Oil,Wheeling,Illinois,United States,1-847-465-4000
Microbes Inc,microbesinc.com,Gas & Oil,Spring,Texas,United States,1-281-367-7500
Middleboro Gas & Electric Department,www.middleborogande.com,Gas & Oil,Middleboro,Massachusetts,United States,1-508-947-1371
Midland Transports,jcoil.com,Gas & Oil,Jefferson City,Missouri,United States,1-573-635-2008
Midwest Fuels,www.midwestfuels.com,Gas & Oil,Byron,Minnesota,United States,1-507-775-2669
Midwest Industrial Fuels,www.midwestfuels.com,Gas & Oil,La Crosse,Wisconsin,United States,1-608-782-3308
Midwestern Propane Gas Company,www.midwesternpropane.com,Gas & Oil,Belleville,Illinois,United States,1-618-234-0524
Mieco Inc,mieco.com,Gas & Oil,Long Beach,California,United States,1-562-435-0085
Millen Oil Company,millenoil.com,Gas & Oil,McKinney,Texas,United States,1-972-542-0206
"Miller Energy, Inc.",http://www.miller-energy.com/,Gas & Oil,Kalamazoo,Michigan,United States,1-269-324-3390
Miller Oil Company,www.mocgas.com,Gas & Oil,Louisville,Kentucky,United States,1-502-772-1722
Mini Gallon Oil Co,minigallon.com,Gas & Oil,Coinjock,North Carolina,United States,1-252-453-3100
Missouri Valley Petroleum,mvpinc.net,Gas & Oil,Mandan,North Dakota,United States,1-701-663-5091
Morgan Flex Pipe Inc,www.morganwellservice.com,Gas & Oil,Prague,Oklahoma,United States,1-405-567-2288
"Mulholland Energy Services, LLC",www.mulhollandenergyservices.com,Gas & Oil,McKinney,Texas,United States,1-432-695-4111
Murphy Oil Corporation,http://www.murphyoilcorp.com/,Gas & Oil,El Dorado,Arkansas ,United States,1-870-862-6411
Musselman Fred Oil Company,www.musselmanlumber.com,Gas & Oil,New Holland,Pennsylvania,United States,1-717-354-4321
National Fuel Resources Inc,nfrinc.com,Gas & Oil,Buffalo,New York,United States,1-716-630-6700
Natural Gas Service,ngsgi.com,Gas & Oil,Bloomfield,New Mexico,United States,1-505-632-4566
Nelson Fuel Inc,www.nelsonfuelinc.com,Gas & Oil,South Bend,Indiana ,United States,1-574-287-1579
New Distributing Company,www.newdistributing.com,Gas & Oil,Victoria,Texas,United States,1-361-575-1981
New Dominion LLC,www.newdominion.net,Gas & Oil,Tulsa,Oklahoma,United States,1-918-587-6242
New England Oil Company,www.newenglandoilcompany.com,Gas & Oil,Greenwich,Connecticut,United States,1-203-532-1851
New Horizon Exploration Inc.,http://www.oilandgas.com/,Gas & Oil,Houston,Texas,United States,1-281-578-0100
New Jersey Mining Company,newjerseymining.com,Gas & Oil,Kellogg,Idaho ,United States,1-208-783-1032
Newfield Exploration Company,http://www.newfield.com/,Gas & Oil,The Woodlands,Texas,United States,1-866-415-4470
Newtech Engineering,newtecheng.com,Gas & Oil,Fort Worth,Texas,United States,1-817-885-8548
Niko Resources Ltd.,http://www.nikoresources.com/,Gas & Oil,Calgary,Alberta,Canada,1-403-262-1020
Northboro Oil Co,www.northborooil.com,Gas & Oil,Northborough,Massachusetts,United States,1-508-393-6200
Northeast Energy Company,www.northeastenergy.net,Gas & Oil,West Hartford,Connecticut,United States,1-860-206-2555
"Northstar Energy, Inc.",http://nses.com/,Gas & Oil,Channelview,Texas,United States,1-281-452-2355
NT Field Services,www.ntfieldservices.com,Gas & Oil,Anaheim,California,United States,1-714-533-8128
Obele Oil Corporation,https://www.obeleoil.com/,Gas & Oil,Sedona,Arizona,United States,1-928-282-4908
Occidental Petroleum Corporation,www.glennsprings-copperbasinproject.com,Gas & Oil,Los Angeles,California,United States,1-310-208-8800
Occidental Petroleum Corporation (Oxy),http://www.oxy.com/Pages/default.aspx,Gas & Oil,Houston,Texas,United States,1-713-215-7000
Ohio Gas Company,www.ohiogas.com,Gas & Oil,Bryan,Ohio,United States,1-419-636-1117
Oil for Less,americandistributing.com,Gas & Oil,Marysville,Washington,United States,1-360-658-5027
Oil Tanking Texas City,oiltanking.com,Gas & Oil,Texas City,Texas,United States,1-409-797-1700
"ONEOK, Inc.",http://www.oneok.com/,Gas & Oil,Tulsa,Oklahoma,United States,1-918-588-7000
Oneonta Utilities Board,oneontautilities.com,Gas & Oil,Oneonta,Alabama ,United States,1-205-274-2159
Orange Line Oil CO Inc,www.orangelineoil.com,Gas & Oil,Pomona,California,United States,1-909-623-0533
Orion Exploration LLC,www.orionexploration.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-492-0254
"P3 Petroleum, LLC",http://www.p3petro.com/,Gas & Oil,Houston,Texas,United States,1-281-738-3382
Pacific Pride Coml Fueling,www.vandepolenterprises.com,Gas & Oil,Stockton,California,United States,1-209-466-5921
Palmer Petroleum Inc,www.palmerpetro.com,Gas & Oil,Shreveport,Louisiana,United States,1-318-222-0517
Paluca Petroluem Inc,palucapetroleum.com,Gas & Oil,Holdenville,Oklahoma,United States,1-405-379-5656
Pantera Energy Company,www.panteraenergy.com,Gas & Oil,Amarillo,Texas,United States,1-806-376-6625
Parallel Petroleum,http://www.parallel-petro.com/,Gas & Oil,Midland,Texas,United States,1-432-684-3727
Parker Oil & Propane CO Inc,parkeroilcompany.com,Gas & Oil,Hopewell,Virginia,United States,1-804-861-0202
Parker Oil Products Inc,parkeroilproducts.com,Gas & Oil,Parker,Arizona,United States,1-928-669-2617
Parkwest Resources Inc,ocgs.org,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-319-9300
Parwest Land Exploration,www.parwestlandexploration.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-843-1917
Payless Oil,www.paylessoil.net,Gas & Oil,Royersford,Pennsylvania,United States,1-484-984-8484
Payless Oil Co,www.cksmithfuel.com,Gas & Oil,Worcester,Massachusetts,United States,1-508-752-1010
Peak Completion Technologies,peakcompletions.com,Gas & Oil,Midland,Texas,United States,1-432-684-4155
Pence Petroleum,www.pencepetro.com,Gas & Oil,Bakersfield,California,United States,1-661-589-5620
"Penneco Oil Company, Inc.",http://penneco.com/,Gas & Oil,Kensington,Pennsylvania,United States,1-724-335-3611
Perham Natural Gas,www.cityofperham.com,Gas & Oil,Perham,Minnesota,United States,1-218-346-4455
Permits West Inc,www.permitswest.com,Gas & Oil,Santa Fe,New Mexico,United States,1-505-466-8120
Petrobank Energy and Resources Ltd.,,Gas & Oil,Calgary,Alberta,Canada,1-403-750-4400
Petrocon Corporation,www.petrocon.org,Gas & Oil,Frederick,Maryland ,United States,1-301-663-8906
Petroleum Development Corporation,http://www.petd.com/,Gas & Oil,Denver,Colorado,United States,1-303-860-5800
Petroleum International Inc,www.petroleumintl.com,Gas & Oil,Tulsa,Oklahoma,United States,1-918-712-1840
Petroleum Mex Inc,www.petromex.net,Gas & Oil,Midlothian,Illinois,United States,1-708-489-1733
Petroleum Quest Energy Inc,www.petroquest.com,Gas & Oil,Lafayette,Louisiana,United States,1-337-232-7028
Petroleum Software Technology,pstware.com,Gas & Oil,Aurora,Colorado,United States,1-303-337-1785
"PetroQuest Energy, Inc.",http://www.petroquest.com/,Gas & Oil,Lafayette,Louisiana,United States,1-337-232-7028
Phillips Energy Partners LLC,phillipsenergy.com,Gas & Oil,Shreveport,Louisiana,United States,1-318-698-0054
Phil's Propane Inc,www.philspropane.com,Gas & Oil,Tiverton,Rhode Island,United States,1-401-624-6395
Piceance Natural Gas Inc,fullspectrumenergy.com,Gas & Oil,Denver,Colorado,United States,1-303-832-6465
Pinnacle Oil Inc,www.pinnoil.com,Gas & Oil,Indianapolis,Indiana ,United States,1-317-875-9465
"Pioneer Natural Resources, USA",http://www.pxd.com/,Gas & Oil,Irving,Texas,United States,1-972-444-9001
Pioneer Oil and Gas,http://www.piol.com/,Gas & Oil,South Jordan,Utah,United States,1-801-566-3000
Pioneer Oil CO Inc,pioneeroil.net,Gas & Oil,Lawrenceville,Illinois,United States,1-618-943-5314
"Plains All American Pipeline, L.P.",https://www.plainsallamerican.com/,Gas & Oil,Houston,Texas,United States,1-713-646-4100
Plano Petroleum,www.planoprofile.com,Gas & Oil,Plano,Texas,United States,1-972-422-4335
Poco-Paulson Oil Company,pocooil.com,Gas & Oil,Chesterton,Indiana ,United States,1-219-926-8656
Portland Natural Gas Transmssn,pngts.com,Gas & Oil,Portsmouth,New Hampshire,United States,1-603-559-5500
Power Fuels LLC,www.power-fuels.com,Gas & Oil,Cheshire,Connecticut,United States,1-203-699-0099
Power Resources Operating Company,powerresources.com,Gas & Oil,Canton,Ohio,United States,1-330-492-6820
Precision Oil & Gas,poandg.com,Gas & Oil,Bridgeport,West Virginia,United States,1-304-848-0307
Prestige Petroleum Corporation,www.prestigepetroleum.com,Gas & Oil,East Windsor Township,New Jersey,United States,1-201-934-6100
Priestley & Sons Heating Oil,www.priestleyoil.com,Gas & Oil,Lake Oswego,Oregon,United States,1-503-774-2205
Primeland Cooperatives,www.primelandcoop.com,Gas & Oil,Lewiston,Idaho ,United States,1-208-743-8602
Primero Operating Inc,primerooperating.com,Gas & Oil,Roswell,New Mexico,United States,1-575-622-1001
Priority Fuel Inc,www.priorityfuel.net,Gas & Oil,Hartford,Connecticut,United States,1-860-527-5515
"Production Gathering Company, LLC",http://pgcgas.com/,Gas & Oil,Dallas,Texas,United States,1-972-680-9737
Purified Lubricants Inc,www.purifiedlubricants.com,Gas & Oil,Mokena,Illinois,United States,1-708-478-3500
Quality Oil Co LLC,www.preferredoil.com,Gas & Oil,Southington,Connecticut,United States,1-860-276-9932
Quality State Oil Company,qualitystate.com,Gas & Oil,Sheboygan,Wisconsin,United States,1-262-284-5656
Quest Offshore Resources,questoffshore.com,Gas & Oil,Sugar Land,Texas,United States,1-281-491-5900
Questar Pipeline Company,questarpipeline.com,Gas & Oil,Rifle,Colorado,United States,1-970-625-1017
Quinion Oil Company,www.quinoco.com,Gas & Oil,Bristol,Connecticut,United States,1-860-583-4609
R L Laughlin & Company,rllco.com,Gas & Oil,Charleston,West Virginia,United States,1-304-776-7740
R Lacy Inc,www.rlacy.com,Gas & Oil,Longview,Texas,United States,1-903-758-8276
Ram Inc,www.weallfordpropane.com,Gas & Oil,Mcalester,Oklahoma,United States,1-918-423-3121
Ramos-Strong Inc,rsipetroleum.com,Gas & Oil,Mojave,California,United States,1-661-822-4485
Range Resources Corporation,www.rangeresources.com,Gas & Oil,Fort Worth,Texas,United States,1-817-870-2601
Rebel Oil Company,www.rebeloil.com,Gas & Oil,Las Vegas,Las Vegas,United States,1-702-382-5866
Red Horse Oil Company,redhorseoil.com,Gas & Oil,Rock Springs,Wyoming,United States,1-307-362-3649
Redfield Energy,redfieldenergy.com,Gas & Oil,Redfield,South Dakota,United States,1-605-302-0090
Redigas Inc,www.redigasonline.com,Gas & Oil,McPherson,Kansas,United States,1-620-241-5282
Reeder Distributors Inc,www.reederdistributors.com,Gas & Oil,Fort Worth,Texas,United States,1-817-429-5957
Regent Resources Ltd.,http://regentresources.com/,Gas & Oil,Calgary,Alberta,Canada,1=403-264-0018
Regional Energy Group,www.regionalenergy.com,Gas & Oil,El Dorado,Kansas,United States,1-316-320-0324
Reliable Oil & Heat CO Inc - Burner Service,www.reliableoilandheat.com,Gas & Oil,Stamford,Connecticut,United States,1-203-324-2141
Reliance Energy Inc,www.reimid.com,Gas & Oil,Midland,Texas,United States,1-432-683-4816
Reserve Petroleum Company,reserve-petro.com,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-848-7551
Rex Energy,http://www.rexenergy.com/,Gas & Oil,State College,Pennsylvania,United States,1-814-278-7267
Richman Oil Corporation,richmanoil.com,Gas & Oil,Leander,Texas,United States,1-512-249-9252
Ricochet Fuel Distributors,www.ricochetfuel.com,Gas & Oil,Euless,Texas,United States,1-817-268-5910
Rinehart Oil,www.rinehartoil.com,Gas & Oil,Ukiah,California,United States,1-707-462-8811
Rio Petroleum,riopetroleum.com,Gas & Oil,Amarillo,Texas,United States,1-806-356-8033
Riviera Energy Corporation,www.rivieraenergy.com,Gas & Oil,Midland,Texas,United States,1-432-686-9400
Robert Shewokis Fuel Oil,shewokisfuels.com,Gas & Oil,New Philadelphia,Pennsylvania,United States,1-570-277-6168
Robinson Oil,www.robinsonoil.com,Gas & Oil,Garden City,Kansas,United States,1-620-276-8815
Rose Oil,www.rozoil.com,Gas & Oil,New Haven,Connecticut,United States,1-203-776-2000
Rosewood Resources,,Gas & Oil,Dallas,Texas,United States,1-214-849-9300
Ross Oil Co Inc,rossoil.com,Gas & Oil,Bayard,New Mexico,United States,1-575-483-2633
Royale Energy Inc.,http://www.royl.com/,Gas & Oil,El Cajon,California,United States,1-619-383-6600
Running Foxes Petroleum Inc,runningfoxes.com,Gas & Oil,Englewood,Colorado,United States,1-303-617-7242
Russell Oil Inc,www.russelloil.com,Gas & Oil,Plainfield,Illinois,United States,1-815-609-7000
Ruwco Oil & Gas Corporation,www.ruwco.com,Gas & Oil,Austin,Texas,United States,1-512-476-5500
Salathe Oil Company,www.salatheoil.com,Gas & Oil,Harvey,Louisiana,United States,1-504-366-4542
Samson Resources II,http://www.samson.com/,Gas & Oil,Tulsa,Oklahoma,United States,1-981-591-1791
"Sarita Energy Resources, Ltd.",http://www.saritaenergy.com/,Gas & Oil,Houston,Texas,United States,1-713-224-1681
Saveway Petroleum Inc,www.savewaypetro.com,Gas & Oil,Danielson,Connecticut,United States,1-860-779-2500
Sawyer Oil & Gas CO Inc,sogc.net,Gas & Oil,Boca Raton,Florida ,United States,1-561-393-6603
Scholl Oil & Transportation Company,scholloil.com,Gas & Oil,Holyoke,Colorado,United States,1-970-854-3300
Seismic Ventures Inc,www.seismicventures.com,Gas & Oil,Stafford,Texas,United States,1-281-240-1234
Sellers Petroleum Products,www.sellerspetroleum.com,Gas & Oil,Imperial,California,United States,1-760-355-7900
Senter Petroleum Inc,senterkauai.com,Gas & Oil,Lihue,Hawaii,United States,1-808-245-1911
Sentry Technologies Inc,www.sentryti.com,Gas & Oil,Sugar Land,Texas,United States,1-281-561-0008
Sevier County Utility District,www.scudgas.org,Gas & Oil,Sevierville,Tennessee ,United States,1-865-453-3272
SFLWELL LLC,www.shootfluidlevel.com,Gas & Oil,Broken Arrow,Oklahoma,United States,1-918-671-7777
Shell Oil CO Jobber,sawyerpetroleum.com,Gas & Oil,Van Nuys,California,United States,1-818-785-0902
Shepherd Oil CO Inc,www.shepherdoil.com,Gas & Oil,Blackwell,Oklahoma,United States,1-580-363-4280
Shores Lift Solutions,shoreslift.com/,Gas & Oil,Windsor,Colorado,United States,1-970-673-3646
Shoreside Petroleum Inc,www.shoresidepetroleum.com,Gas & Oil,Seward,Alaska,United States,1-907-224-8040
Shuqualak Oil Inc,www.shuqualak.com,Gas & Oil,Shuqualak,Mississippi ,United States,1-662-793-4591
Sierra Engineering Inc,www.sierra-engineering.net,Gas & Oil,Oklahoma City,Oklahoma,United States,1-405-843-5566
Sieveking Inc,www.sievekinginc.com,Gas & Oil,High Ridge,Missouri,United States,1-636-677-4355
Signature Oil Corporation,signatureoil.com,Gas & Oil,Lexington,Kentucky,United States,1-859-224-0501
Sioux Valley Energy,siouxvalleyenergy.com,Gas & Oil,Colman,South Dakota,United States,1-605-534-3535
Slawson Exploration Company,slawsoncompanies.com,Gas & Oil,Denver,Colorado,United States,1-303-592-8880
Slawson Exploration Company,www.slawsoncompanies.com,Gas & Oil,Wichita,Kansas,United States,1-316-263-3201
Sloan Del Geologst,www.sloanpetroleum.com,Gas & Oil,Midland,Texas,United States,1-432-682-2073
SM Energy Company,http://www.stmaryland.com/,Gas & Oil,Denver,Colorado,United States,1-303-861-8140
Smith Gas Liquids,smithgas.com,Gas & Oil,Holland,Michigan,United States,1-616-786-0001
Solitario Exploration & Rylty,solitarioresources.com,Gas & Oil,Wheat Ridge,Colorado,United States,1-303-534-1030
Solitario Exploration & Rylty,solitarioresources.com,Gas & Oil,Sugar Land,Texas,United States,1-713-682-4070
South Star,www.onlygng.com,Gas & Oil,Atlanta,Georgia ,United States,1-770-850-6200
Southeastern Ohio Oil & Gas,www.sooga.org,Gas & Oil,Marietta,Ohio,United States,1-740-374-3203
Southland Energy Consultants,www.williamsonogi.com,Gas & Oil,Shreveport,Louisiana,United States,1-318-226-0040
Southwestern Energy Company,https://www.swn.com/Pages/default.aspx,Gas & Oil,Spring,Texas,United States,1-832-796-1000
Spartan Operating Company,jes-engineer.com,Gas & Oil,Tyler,Texas,United States,1-903-593-5043
Speedy Gas & Wash,www.speedygasandwash.com,Gas & Oil,Ballwin,Missouri,United States,1-636-227-9274
St Lawrence Gas,www.stlawrencegas.com,Gas & Oil,Massena,New York,United States,1-315-769-3511
Stand Energy Corporation,www.stand-energy.com,Gas & Oil,Cincinnati,Ohio,United States,1-513-621-1113
Star-Oil Company,www.staroilco.net,Gas & Oil,Portland,Oregon,United States,1-503-283-1256
